류,번호,표제,품명
01,0101,말,살아 있는 말·당나귀·노새·버새
01,0102,소,살아 있는 소
01,0103,돼지,살아 있는 돼지
01,0104,양,살아 있는 면양과 산양
01,0105,가금류,"살아 있는 가금(家禽)류
[닭(갈루스 도메스티쿠스종으로 한정한다)·오리·거위·칠면조·기니아새로 한정한다]"
01,0106,기타의 산 동물,그 밖의 살아 있는 동물
02,0201,신선·냉장한 쇠고기,쇠고기(신선한 것이나 냉장한 것으로 한정한다)
02,0202,냉동한 쇠고기,쇠고기(냉동한 것으로 한정한다)
02,0203,돼지고기,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
02,0204,양고기,"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
02,0205,말고기,"말·당나귀·노새·버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
02,0206,식용설육,"소·돼지·면양·염소·말·당나귀·노새·버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
02,0207,가금의 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
02,0208,기타의 육과 식용설육,"그 밖의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
02,0209,돼지비계와 가금의 비계,살코기가 없는 돼지 비계와 가금(家禽)의 비계(기름을 빼지 않은 것이나 그 밖의 방법으로 추출하지 않은 것으로서 신선한 것·냉장하거나 냉동한 것·염장하거나 염수장한 것·건조하거나 훈제한 것으로 한정한다)
02,0210,염장·건조·훈제한 육·설육,"육과 식용 설육(屑肉)(염장하거나 염수장한 것·건조하거나 훈제한 것으로 한정한다), 육이나 설육(屑肉)의 식용 고운 가루·거친 가루"
03,0301,활어,활어
03,0302,신선·냉장한 어류,신선하거나 냉장한 어류[제0304호의 어류의 필레(fillet)와 그 밖의 어육은 제외한다]
03,0303,냉동어류,냉동어류[제0304호의 어류의 필레(fillet)와 기타 어육은 제외한다]
03,0304,어류의 피레트 및 기타 어육,"어류의 필레(fillet)와 그 밖의 어육(잘게 썰었는지에 상관없으며, 신선한 것·냉장한 것·냉동한 것으로 한정한다)"
